2024-04-08 15:30:17.680162: [training]
2024-04-08 15:31:56.589929: iter: [1/300], train_loss: 12.446662, valid_loss: 0.549931, best_valid_loss: 0.549931, lr: 0.00100
2024-04-08 15:33:20.805845: iter: [2/300], train_loss: 4.646360, valid_loss: 1.108217, best_valid_loss: 0.549931, lr: 0.00100
2024-04-08 15:34:47.326942: iter: [3/300], train_loss: 4.319159, valid_loss: 0.475893, best_valid_loss: 0.475893, lr: 0.00100
2024-04-08 15:36:14.584614: iter: [4/300], train_loss: 3.919737, valid_loss: 0.345512, best_valid_loss: 0.345512, lr: 0.00100
2024-04-08 15:37:41.754650: iter: [5/300], train_loss: 3.325075, valid_loss: 0.285603, best_valid_loss: 0.285603, lr: 0.00100
2024-04-08 15:39:09.320513: iter: [6/300], train_loss: 2.829869, valid_loss: 0.283363, best_valid_loss: 0.283363, lr: 0.00100
2024-04-08 15:40:37.001906: iter: [7/300], train_loss: 3.241889, valid_loss: 0.369343, best_valid_loss: 0.283363, lr: 0.00100
2024-04-08 15:42:08.935899: iter: [8/300], train_loss: 3.036783, valid_loss: 0.282025, best_valid_loss: 0.282025, lr: 0.00100
2024-04-08 15:43:37.667407: iter: [9/300], train_loss: 2.472048, valid_loss: 0.253485, best_valid_loss: 0.253485, lr: 0.00100
2024-04-08 15:45:07.793385: iter: [10/300], train_loss: 2.379330, valid_loss: 0.252086, best_valid_loss: 0.252086, lr: 0.00100
2024-04-08 15:46:33.323716: iter: [11/300], train_loss: 2.296489, valid_loss: 0.256588, best_valid_loss: 0.252086, lr: 0.00100
2024-04-08 15:48:00.904209: iter: [12/300], train_loss: 2.381820, valid_loss: 0.242067, best_valid_loss: 0.242067, lr: 0.00100
2024-04-08 15:49:26.750643: iter: [13/300], train_loss: 2.292273, valid_loss: 0.246841, best_valid_loss: 0.242067, lr: 0.00100
2024-04-08 15:50:55.143824: iter: [14/300], train_loss: 2.324341, valid_loss: 0.270915, best_valid_loss: 0.242067, lr: 0.00100
2024-04-08 15:52:21.331914: iter: [15/300], train_loss: 2.299298, valid_loss: 0.319622, best_valid_loss: 0.242067, lr: 0.00100
2024-04-08 15:53:49.774501: iter: [16/300], train_loss: 2.153785, valid_loss: 0.234568, best_valid_loss: 0.234568, lr: 0.00100
2024-04-08 15:55:16.202521: iter: [17/300], train_loss: 2.268496, valid_loss: 0.230596, best_valid_loss: 0.230596, lr: 0.00100
2024-04-08 15:56:42.377882: iter: [18/300], train_loss: 2.177370, valid_loss: 0.230273, best_valid_loss: 0.230273, lr: 0.00100
2024-04-08 15:58:08.378332: iter: [19/300], train_loss: 2.124951, valid_loss: 0.253169, best_valid_loss: 0.230273, lr: 0.00100
2024-04-08 15:59:34.361869: iter: [20/300], train_loss: 2.077736, valid_loss: 0.308956, best_valid_loss: 0.230273, lr: 0.00100
2024-04-08 16:00:59.817287: iter: [21/300], train_loss: 2.137236, valid_loss: 0.227484, best_valid_loss: 0.227484, lr: 0.00100
2024-04-08 16:02:23.837355: iter: [22/300], train_loss: 2.009423, valid_loss: 0.224735, best_valid_loss: 0.224735, lr: 0.00100
2024-04-08 16:03:43.686166: iter: [23/300], train_loss: 2.207392, valid_loss: 0.246894, best_valid_loss: 0.224735, lr: 0.00100
2024-04-08 16:05:04.293354: iter: [24/300], train_loss: 2.017602, valid_loss: 0.242897, best_valid_loss: 0.224735, lr: 0.00100
2024-04-08 16:06:34.395988: iter: [25/300], train_loss: 2.101231, valid_loss: 0.223454, best_valid_loss: 0.223454, lr: 0.00100
2024-04-08 16:08:10.902527: iter: [26/300], train_loss: 2.032490, valid_loss: 0.232762, best_valid_loss: 0.223454, lr: 0.00100
2024-04-08 16:09:50.883128: iter: [27/300], train_loss: 2.210679, valid_loss: 0.251274, best_valid_loss: 0.223454, lr: 0.00100
2024-04-08 16:11:34.525866: iter: [28/300], train_loss: 1.974786, valid_loss: 0.220637, best_valid_loss: 0.220637, lr: 0.00100
2024-04-08 16:13:08.999190: iter: [29/300], train_loss: 1.928527, valid_loss: 0.231863, best_valid_loss: 0.220637, lr: 0.00100
2024-04-08 16:14:48.868276: iter: [30/300], train_loss: 1.964605, valid_loss: 0.223642, best_valid_loss: 0.220637, lr: 0.00100
2024-04-08 16:16:34.716329: iter: [31/300], train_loss: 1.999095, valid_loss: 0.219249, best_valid_loss: 0.219249, lr: 0.00100
2024-04-08 16:18:17.852258: iter: [32/300], train_loss: 1.980690, valid_loss: 0.241773, best_valid_loss: 0.219249, lr: 0.00100
2024-04-08 16:19:51.698239: iter: [33/300], train_loss: 1.930663, valid_loss: 0.220837, best_valid_loss: 0.219249, lr: 0.00100
2024-04-08 16:21:27.776380: iter: [34/300], train_loss: 1.907441, valid_loss: 0.216791, best_valid_loss: 0.216791, lr: 0.00100
2024-04-08 16:23:01.097402: iter: [35/300], train_loss: 2.072563, valid_loss: 0.216465, best_valid_loss: 0.216465, lr: 0.00100
2024-04-08 16:24:34.895650: iter: [36/300], train_loss: 1.908688, valid_loss: 0.214580, best_valid_loss: 0.214580, lr: 0.00100
2024-04-08 16:26:02.491757: iter: [37/300], train_loss: 1.885694, valid_loss: 0.221707, best_valid_loss: 0.214580, lr: 0.00100
2024-04-08 16:27:33.093317: iter: [38/300], train_loss: 1.895511, valid_loss: 0.246878, best_valid_loss: 0.214580, lr: 0.00100
2024-04-08 16:29:12.115292: iter: [39/300], train_loss: 1.858983, valid_loss: 0.207169, best_valid_loss: 0.207169, lr: 0.00100
2024-04-08 16:30:45.944829: iter: [40/300], train_loss: 1.869245, valid_loss: 0.225861, best_valid_loss: 0.207169, lr: 0.00100
2024-04-08 16:32:14.733316: iter: [41/300], train_loss: 1.855862, valid_loss: 0.214513, best_valid_loss: 0.207169, lr: 0.00100
2024-04-08 16:33:44.612567: iter: [42/300], train_loss: 1.855920, valid_loss: 0.214013, best_valid_loss: 0.207169, lr: 0.00100
2024-04-08 16:35:15.138618: iter: [43/300], train_loss: 1.951260, valid_loss: 0.220471, best_valid_loss: 0.207169, lr: 0.00100
2024-04-08 16:36:43.355178: iter: [44/300], train_loss: 1.866814, valid_loss: 0.212867, best_valid_loss: 0.207169, lr: 0.00100
2024-04-08 16:38:11.058496: iter: [45/300], train_loss: 1.826259, valid_loss: 0.275268, best_valid_loss: 0.207169, lr: 0.00100
2024-04-08 16:39:38.322623: iter: [46/300], train_loss: 1.916841, valid_loss: 0.213289, best_valid_loss: 0.207169, lr: 0.00100
2024-04-08 16:41:07.449876: iter: [47/300], train_loss: 1.852433, valid_loss: 0.229000, best_valid_loss: 0.207169, lr: 0.00100
2024-04-08 16:42:39.900775: iter: [48/300], train_loss: 1.860947, valid_loss: 0.203821, best_valid_loss: 0.203821, lr: 0.00100
2024-04-08 16:44:10.546626: iter: [49/300], train_loss: 1.822366, valid_loss: 0.205981, best_valid_loss: 0.203821, lr: 0.00100
2024-04-08 16:45:33.932725: iter: [50/300], train_loss: 1.820405, valid_loss: 0.203971, best_valid_loss: 0.203821, lr: 0.00100
2024-04-08 16:46:58.642662: iter: [51/300], train_loss: 1.944200, valid_loss: 0.234984, best_valid_loss: 0.203821, lr: 0.00100
2024-04-08 16:48:23.192793: iter: [52/300], train_loss: 1.816509, valid_loss: 0.229581, best_valid_loss: 0.203821, lr: 0.00100
2024-04-08 16:49:47.991910: iter: [53/300], train_loss: 1.838522, valid_loss: 0.259182, best_valid_loss: 0.203821, lr: 0.00100
2024-04-08 16:51:12.146604: iter: [54/300], train_loss: 1.846366, valid_loss: 0.217363, best_valid_loss: 0.203821, lr: 0.00100
2024-04-08 16:52:37.838903: iter: [55/300], train_loss: 1.822074, valid_loss: 0.202895, best_valid_loss: 0.202895, lr: 0.00100
2024-04-08 16:54:00.870825: iter: [56/300], train_loss: 1.800862, valid_loss: 0.218509, best_valid_loss: 0.202895, lr: 0.00100
2024-04-08 16:55:24.775524: iter: [57/300], train_loss: 1.791438, valid_loss: 0.204975, best_valid_loss: 0.202895, lr: 0.00100
2024-04-08 16:56:48.239232: iter: [58/300], train_loss: 1.823156, valid_loss: 0.203947, best_valid_loss: 0.202895, lr: 0.00100
2024-04-08 16:58:10.717399: iter: [59/300], train_loss: 1.766840, valid_loss: 0.215878, best_valid_loss: 0.202895, lr: 0.00100
2024-04-08 16:59:33.866227: iter: [60/300], train_loss: 1.772859, valid_loss: 0.208840, best_valid_loss: 0.202895, lr: 0.00100
2024-04-08 17:00:56.553451: iter: [61/300], train_loss: 1.803713, valid_loss: 0.213744, best_valid_loss: 0.202895, lr: 0.00100
2024-04-08 17:02:18.137457: iter: [62/300], train_loss: 1.838157, valid_loss: 0.217994, best_valid_loss: 0.202895, lr: 0.00100
2024-04-08 17:03:38.704404: iter: [63/300], train_loss: 1.770558, valid_loss: 0.202295, best_valid_loss: 0.202295, lr: 0.00100
2024-04-08 17:04:59.359569: iter: [64/300], train_loss: 1.804521, valid_loss: 0.214282, best_valid_loss: 0.202295, lr: 0.00100
2024-04-08 17:06:19.959900: iter: [65/300], train_loss: 1.766643, valid_loss: 0.210427, best_valid_loss: 0.202295, lr: 0.00100
2024-04-08 17:07:41.228157: iter: [66/300], train_loss: 1.765151, valid_loss: 0.250979, best_valid_loss: 0.202295, lr: 0.00100
2024-04-08 17:09:00.865168: iter: [67/300], train_loss: 1.818227, valid_loss: 0.214682, best_valid_loss: 0.202295, lr: 0.00100
2024-04-08 17:10:21.349479: iter: [68/300], train_loss: 1.842904, valid_loss: 0.232492, best_valid_loss: 0.202295, lr: 0.00100
2024-04-08 17:11:41.946039: iter: [69/300], train_loss: 1.873261, valid_loss: 0.210332, best_valid_loss: 0.202295, lr: 0.00100
2024-04-08 17:13:03.353421: iter: [70/300], train_loss: 1.742164, valid_loss: 0.220494, best_valid_loss: 0.202295, lr: 0.00100
2024-04-08 17:14:26.407898: iter: [71/300], train_loss: 1.738347, valid_loss: 0.203950, best_valid_loss: 0.202295, lr: 0.00100
2024-04-08 17:15:49.765576: iter: [72/300], train_loss: 1.759905, valid_loss: 0.210400, best_valid_loss: 0.202295, lr: 0.00100
2024-04-08 17:17:15.972902: iter: [73/300], train_loss: 1.752641, valid_loss: 0.198240, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:18:40.621893: iter: [74/300], train_loss: 1.772108, valid_loss: 0.202933, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:20:06.402822: iter: [75/300], train_loss: 1.732404, valid_loss: 0.227723, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:21:31.728771: iter: [76/300], train_loss: 1.770575, valid_loss: 0.201777, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:22:57.617461: iter: [77/300], train_loss: 1.768195, valid_loss: 0.199804, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:24:22.242888: iter: [78/300], train_loss: 1.721877, valid_loss: 0.203874, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:25:43.799826: iter: [79/300], train_loss: 1.737925, valid_loss: 0.208476, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:27:05.857218: iter: [80/300], train_loss: 1.749534, valid_loss: 0.239326, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:28:28.570781: iter: [81/300], train_loss: 1.760074, valid_loss: 0.212421, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:29:46.584120: iter: [82/300], train_loss: 1.702676, valid_loss: 0.212569, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:31:04.563933: iter: [83/300], train_loss: 1.739269, valid_loss: 0.201828, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:32:22.756154: iter: [84/300], train_loss: 1.798606, valid_loss: 0.209780, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:33:40.729235: iter: [85/300], train_loss: 1.769872, valid_loss: 0.200402, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:34:58.638946: iter: [86/300], train_loss: 1.722720, valid_loss: 0.224166, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:36:16.775809: iter: [87/300], train_loss: 1.728282, valid_loss: 0.209981, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:37:34.608936: iter: [88/300], train_loss: 1.798417, valid_loss: 0.208556, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:38:52.241089: iter: [89/300], train_loss: 1.751924, valid_loss: 0.199536, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:40:10.201263: iter: [90/300], train_loss: 1.786286, valid_loss: 0.202139, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:41:28.075061: iter: [91/300], train_loss: 1.715779, valid_loss: 0.218834, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:42:45.821610: iter: [92/300], train_loss: 1.701792, valid_loss: 0.207178, best_valid_loss: 0.198240, lr: 0.00100
2024-04-08 17:44:05.305190: iter: [93/300], train_loss: 1.681485, valid_loss: 0.196435, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 17:45:24.268491: iter: [94/300], train_loss: 1.717030, valid_loss: 0.210689, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 17:46:43.430536: iter: [95/300], train_loss: 1.759983, valid_loss: 0.201747, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 17:48:01.802162: iter: [96/300], train_loss: 1.779471, valid_loss: 0.216963, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 17:49:24.614780: iter: [97/300], train_loss: 1.767804, valid_loss: 0.197808, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 17:50:52.821431: iter: [98/300], train_loss: 1.709296, valid_loss: 0.210927, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 17:52:24.729836: iter: [99/300], train_loss: 1.747046, valid_loss: 0.200830, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 17:53:53.177723: iter: [100/300], train_loss: 1.712941, valid_loss: 0.200970, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 17:55:22.853530: iter: [101/300], train_loss: 1.678927, valid_loss: 0.200803, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 17:56:53.156339: iter: [102/300], train_loss: 1.690777, valid_loss: 0.201381, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 17:58:23.745482: iter: [103/300], train_loss: 1.707128, valid_loss: 0.203669, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 17:59:53.767805: iter: [104/300], train_loss: 1.691808, valid_loss: 0.204115, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 18:01:25.427088: iter: [105/300], train_loss: 1.729693, valid_loss: 0.245672, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 18:02:56.354477: iter: [106/300], train_loss: 1.752413, valid_loss: 0.200711, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 18:04:28.712790: iter: [107/300], train_loss: 1.678746, valid_loss: 0.203257, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 18:05:57.794153: iter: [108/300], train_loss: 1.674251, valid_loss: 0.200196, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 18:07:29.477263: iter: [109/300], train_loss: 1.678286, valid_loss: 0.201988, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 18:08:58.059772: iter: [110/300], train_loss: 1.723821, valid_loss: 0.216598, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 18:10:30.593438: iter: [111/300], train_loss: 1.751439, valid_loss: 0.200503, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 18:11:59.408036: iter: [112/300], train_loss: 1.692211, valid_loss: 0.201071, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 18:13:31.325756: iter: [113/300], train_loss: 1.711664, valid_loss: 0.205691, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 18:15:01.566697: iter: [114/300], train_loss: 1.697009, valid_loss: 0.212138, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 18:16:32.071245: iter: [115/300], train_loss: 1.729373, valid_loss: 0.201266, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 18:18:04.200136: iter: [116/300], train_loss: 1.657712, valid_loss: 0.197284, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 18:19:33.540713: iter: [117/300], train_loss: 1.705805, valid_loss: 0.214073, best_valid_loss: 0.196435, lr: 0.00100
2024-04-08 18:21:02.326288: iter: [118/300], train_loss: 1.658554, valid_loss: 0.199599, best_valid_loss: 0.196435, lr: 0.00100
