2024-07-18 18:29:21.052938: [training]
2024-07-18 20:04:02.357888: [training]
2024-07-18 20:05:27.000675: iter: [1/300], train_loss: 14.789192, valid_loss: 1.537066, best_valid_loss: 1.537066, lr: 0.00100
2024-07-18 20:06:47.169524: iter: [2/300], train_loss: 11.929070, valid_loss: 0.745114, best_valid_loss: 0.745114, lr: 0.00100
2024-07-18 20:08:09.477952: iter: [3/300], train_loss: 5.082986, valid_loss: 0.359374, best_valid_loss: 0.359374, lr: 0.00100
2024-07-18 20:09:30.978660: iter: [4/300], train_loss: 3.582644, valid_loss: 0.451614, best_valid_loss: 0.359374, lr: 0.00100
2024-07-18 20:10:52.653276: iter: [5/300], train_loss: 3.352769, valid_loss: 0.393175, best_valid_loss: 0.359374, lr: 0.00100
2024-07-18 20:12:14.171002: iter: [6/300], train_loss: 3.200435, valid_loss: 0.386786, best_valid_loss: 0.359374, lr: 0.00100
2024-07-18 20:13:35.587200: iter: [7/300], train_loss: 3.071945, valid_loss: 0.374686, best_valid_loss: 0.359374, lr: 0.00100
2024-07-18 20:14:57.986033: iter: [8/300], train_loss: 3.054991, valid_loss: 0.282719, best_valid_loss: 0.282719, lr: 0.00100
2024-07-18 20:16:19.315690: iter: [9/300], train_loss: 2.630547, valid_loss: 0.302958, best_valid_loss: 0.282719, lr: 0.00100
2024-07-18 20:17:41.549923: iter: [10/300], train_loss: 2.586272, valid_loss: 0.285700, best_valid_loss: 0.282719, lr: 0.00100
2024-07-18 20:19:02.886780: iter: [11/300], train_loss: 2.370014, valid_loss: 0.244949, best_valid_loss: 0.244949, lr: 0.00100
2024-07-18 20:20:24.650410: iter: [12/300], train_loss: 2.395770, valid_loss: 0.269473, best_valid_loss: 0.244949, lr: 0.00100
2024-07-18 20:21:45.295416: iter: [13/300], train_loss: 2.517605, valid_loss: 0.284448, best_valid_loss: 0.244949, lr: 0.00100
2024-07-18 20:23:05.623790: iter: [14/300], train_loss: 2.339957, valid_loss: 0.260037, best_valid_loss: 0.244949, lr: 0.00100
2024-07-18 20:24:27.066088: iter: [15/300], train_loss: 2.237933, valid_loss: 0.234886, best_valid_loss: 0.234886, lr: 0.00100
