user,time slot,region,ground truth,sensing traffic,prediction,noise(pp),with accident
1,45,12,50.0,50.0,52.0,0.0,0.0
1,74,15,37.0,37.0,26.0,0.0,0.0
1,114,21,93.0,93.0,95.0,0.0,0.0
1,116,0,43.0,43.0,30.0,0.0,0.0
1,27,3,27.0,27.0,16.0,0.0,0.0
1,64,27,71.0,71.0,65.0,0.0,0.0
1,17,3,49.0,49.0,56.0,0.0,0.0
1,36,7,63.0,63.0,68.0,0.0,0.0
1,113,9,160.0,160.0,192.0,0.0,0.0
1,96,19,40.0,40.0,49.0,0.0,0.0
1,12,21,170.0,170.0,157.0,0.0,0.0
1,79,18,25.0,25.0,16.0,0.0,0.0
1,102,4,42.0,42.0,55.0,0.0,0.0
1,32,23,5.0,5.0,9.0,0.0,0.0
1,68,6,195.0,195.0,211.0,0.0,0.0
1,90,24,90.0,90.0,95.0,0.0,0.0
1,103,24,68.0,68.0,80.0,0.0,0.0
1,77,12,5.0,5.0,7.0,0.0,0.0
1,18,26,129.0,129.0,140.0,0.0,0.0
1,39,1,65.0,65.0,69.0,0.0,0.0
1,109,6,117.0,117.0,133.0,0.0,0.0
1,93,7,120.0,120.0,128.0,0.0,0.0
1,9,23,62.0,62.0,55.0,0.0,0.0
1,87,14,57.0,57.0,70.0,0.0,0.0
1,42,24,136.0,136.0,171.0,0.0,0.0
1,60,17,0.0,0.0,1.0,0.0,0.0
1,71,5,56.0,56.0,90.0,0.0,0.0
1,99,25,48.0,48.0,37.0,0.0,0.0
1,119,13,8.0,8.0,41.0,0.0,0.0
1,55,8,201.0,201.0,172.0,0.0,0.0
2,38,9,221.0,221.0,237.0,0.0,0.0
2,70,20,276.0,276.0,252.0,0.0,0.0
2,37,19,60.0,60.0,64.0,0.0,0.0
2,90,16,59.0,59.0,56.0,0.0,0.0
2,15,19,48.0,48.0,63.0,0.0,0.0
2,118,5,68.0,68.0,60.0,0.0,0.0
2,42,30,72.0,72.0,103.0,0.0,0.0
2,104,15,49.0,49.0,55.0,0.0,0.0
2,69,15,64.0,64.0,69.0,0.0,0.0
2,26,0,24.0,24.0,19.0,0.0,0.0
