user,time slot,region,ground truth,sensing traffic,prediction,BPMF,noise(pp)
1,45,12,50.0,50,44,54.0,0.0
1,74,15,37.0,37,30,25.0,0.0
1,114,21,93.0,93,95,79.0,0.0
1,116,0,43.0,43,35,26.0,0.0
1,27,3,27.0,27,15,12.0,0.0
1,64,27,71.0,71,76,67.0,0.0
1,17,3,49.0,49,59,60.0,0.0
1,36,7,63.0,63,62,108.0,0.0
1,113,9,160.0,160,150,147.0,0.0
1,96,19,40.0,40,53,51.0,0.0
1,12,21,170.0,170,156,148.0,0.0
1,79,18,25.0,25,14,23.0,0.0
1,102,4,42.0,42,58,53.0,0.0
1,32,23,5.0,5,6,5.0,0.0
1,68,6,195.0,195,202,198.0,0.0
1,90,24,90.0,90,102,94.0,0.0
1,103,24,68.0,68,79,79.0,0.0
1,77,12,5.0,5,7,5.0,0.0
1,18,26,129.0,129,141,100.0,0.0
1,39,1,65.0,65,60,84.0,0.0
1,109,6,117.0,117,133,139.0,0.0
1,93,7,120.0,120,124,136.0,0.0
1,9,23,62.0,62,67,61.0,0.0
1,87,14,57.0,57,59,67.0,0.0
1,42,24,136.0,136,169,145.0,0.0
1,60,17,0.0,0,1,0.0,0.0
1,71,5,56.0,56,76,35.0,0.0
1,99,25,48.0,48,42,40.0,0.0
1,119,13,8.0,8,40,8.0,0.0
1,55,8,201.0,201,182,204.0,0.0
2,38,9,221.0,221,256,197.0,0.0
2,70,20,276.0,276,212,239.0,0.0
2,37,19,60.0,60,66,48.0,0.0
2,90,16,59.0,59,56,61.0,0.0
2,15,19,48.0,48,69,75.0,0.0
2,118,5,68.0,68,53,47.0,0.0
2,42,30,72.0,72,78,71.0,0.0
2,104,15,49.0,49,57,55.0,0.0
2,69,15,64.0,64,54,66.0,0.0
2,26,0,24.0,24,26,13.0,0.0
2,102,18,128.0,128,116,112.0,0.0
2,77,3,4.0,4,11,8.0,0.0
2,114,24,57.0,57,53,57.0,0.0
2,75,17,0.0,0,0,0.0,0.0
2,36,19,47.0,47,75,41.0,0.0
2,56,29,5.0,5,7,6.0,0.0
2,11,19,53.0,53,62,81.0,0.0
2,76,19,6.0,6,10,14.0,0.0
2,49,14,114.0,114,113,108.0,0.0
2,40,7,122.0,122,168,176.0,0.0
2,73,0,30.0,30,28,13.0,0.0
2,30,1,12.0,12,11,10.0,0.0
2,117,9,152.0,152,163,139.0,0.0
2,23,25,38.0,38,37,34.0,0.0
2,24,31,0.0,0,0,0.0,0.0
2,96,0,43.0,43,36,40.0,0.0
2,4,31,1.0,1,1,-0.0,0.0
2,78,10,25.0,25,21,19.0,0.0
2,84,20,239.0,239,248,103.0,0.0
2,33,23,16.0,16,10,6.0,0.0
3,14,3,60.0,60,67,54.0,0.0
3,90,30,29.0,29,50,43.0,0.0
3,28,11,16.0,16,12,15.0,0.0
3,47,18,209.0,209,182,198.0,0.0
3,101,23,41.0,41,40,38.0,0.0
3,21,28,22.0,22,18,13.0,0.0
3,42,2,89.0,89,88,105.0,0.0
3,54,0,70.0,70,73,71.0,0.0
3,104,0,31.0,31,33,38.0,0.0
3,7,4,111.0,111,84,96.0,0.0
3,12,21,170.0,170,156,148.0,0.0
3,100,5,74.0,74,85,75.0,0.0
3,18,6,230.0,230,238,212.0,0.0
3,89,8,132.0,132,164,150.0,0.0
3,117,20,151.0,151,140,142.0,0.0
3,5,17,1.0,1,2,0.0,0.0
3,73,15,26.0,26,28,26.0,0.0
3,81,4,6.0,6,11,10.0,0.0
3,68,9,219.0,219,231,240.0,0.0
3,77,10,25.0,25,25,29.0,0.0
3,87,26,67.0,67,94,83.0,0.0
3,9,31,1.0,1,1,0.0,0.0
3,3,24,138.0,138,151,152.0,0.0
3,15,1,98.0,98,89,97.0,0.0
3,102,1,62.0,62,57,69.0,0.0
3,24,7,106.0,106,95,94.0,0.0
3,108,9,188.0,188,171,187.0,0.0
3,103,25,31.0,31,35,37.0,0.0
3,96,3,39.0,39,31,36.0,0.0
3,50,6,357.0,357,310,291.0,0.0
4,98,23,34.0,34,42,38.0,0.0
4,7,11,79.0,79,82,91.0,0.0
4,100,14,68.0,68,73,74.0,0.0
4,86,18,108.0,108,109,109.0,0.0
4,20,27,86.0,86,95,66.0,0.0
4,108,0,43.0,43,31,41.0,0.0
4,115,14,45.0,45,51,44.0,0.0
4,43,3,53.0,53,54,69.0,0.0
4,67,21,173.0,173,147,154.0,0.0
4,32,12,6.0,6,5,7.0,0.0
4,15,25,48.0,48,42,63.0,0.0
4,76,10,23.0,23,31,36.0,0.0
4,56,20,302.0,302,310,291.0,0.0
4,85,11,39.0,39,37,30.0,0.0
4,22,4,79.0,79,91,56.0,0.0
4,1,6,303.0,303,284,283.0,0.0
4,60,4,44.0,44,73,65.0,0.0
4,87,15,60.0,60,68,61.0,0.0
4,52,31,0.0,0,1,0.0,0.0
4,72,20,107.0,107,85,108.0,0.0
4,65,3,48.0,48,51,47.0,0.0
4,39,12,32.0,32,35,39.0,0.0
4,83,4,21.0,21,16,34.0,0.0
4,45,20,317.0,317,374,378.0,0.0
4,49,8,209.0,209,213,218.0,0.0
4,84,14,36.0,36,39,37.0,0.0
4,110,15,51.0,51,59,44.0,0.0
4,19,20,281.0,281,313,257.0,0.0
4,71,3,35.0,35,56,18.0,0.0
4,88,26,80.0,80,94,90.0,0.0
5,5,23,91.0,91,74,80.0,0.0
5,21,15,86.0,86,53,80.0,0.0
5,57,13,140.0,140,150,137.0,0.0
5,8,21,198.0,198,168,193.0,0.0
5,33,21,29.0,29,37,26.0,0.0
5,89,16,59.0,59,55,61.0,0.0
5,20,17,0.0,0,0,0.0,0.0
5,117,5,72.0,72,63,49.0,0.0
5,67,9,223.0,223,245,286.0,0.0
5,62,3,53.0,53,55,49.0,0.0
5,71,0,43.0,43,44,20.0,0.0
5,77,31,0.0,0,0,0.0,0.0
5,96,5,60.0,60,73,68.0,0.0
5,0,30,66.0,66,64,81.0,0.0
5,4,0,89.0,89,87,84.0,0.0
5,63,17,0.0,0,1,0.0,0.0
5,41,18,183.0,183,183,164.0,0.0
5,39,4,54.0,54,51,64.0,0.0
5,59,2,71.0,71,71,69.0,0.0
5,6,16,109.0,109,105,98.0,0.0
5,53,29,6.0,6,6,5.0,0.0
5,24,3,46.0,46,55,28.0,0.0
5,70,2,115.0,115,85,76.0,0.0
5,81,10,18.0,18,25,26.0,0.0
5,10,13,172.0,172,148,148.0,0.0
5,92,16,63.0,63,54,51.0,0.0
5,16,7,199.0,199,190,179.0,0.0
5,1,21,171.0,171,186,189.0,0.0
5,51,9,329.0,329,330,383.0,0.0
5,86,31,0.0,0,0,-0.0,0.0
6,40,0,36.0,43,43,59.0,0.1892322308940898
6,46,10,224.0,223,212,221.0,-0.0043154161976685
6,72,18,50.0,54,39,60.0,0.076698872281496
6,116,11,54.0,68,43,35.0,0.2683510319447859
6,108,26,48.0,58,70,80.0,0.2078327284165249
6,5,31,0.0,0,1,0.0,0.1653157726615935
6,115,23,20.0,25,26,34.0,0.2321504148522485
6,95,27,59.0,67,73,52.0,0.1406242604429674
6,89,2,47.0,49,55,66.0,0.0504572563739793
6,77,25,10.0,12,7,8.0,0.2274218619938647
6,83,2,18.0,20,24,51.0,0.1192825966643195
6,63,30,52.0,66,56,50.0,0.2598210947543601
6,91,3,43.0,50,33,44.0,0.1520328148393453
6,82,30,10.0,12,16,23.0,0.1813856501493057
6,58,27,88.0,106,83,76.0,0.2020959689313044
6,81,3,5.0,6,9,7.0,0.2599676863666621
6,55,18,154.0,191,185,170.0,0.24169396753918
6,47,14,92.0,110,106,116.0,0.1937566792522526
6,68,3,65.0,72,50,41.0,0.1009811163642035
6,22,20,261.0,324,252,228.0,0.2411619564512709
6,26,17,0.0,1,0,0.0,0.3274764891327802
6,48,18,207.0,265,199,202.0,0.2779253287754697
6,75,27,23.0,22,20,24.0,-0.0391719289296016
6,37,14,57.0,67,66,60.0,0.181175860477907
6,1,9,353.0,438,373,352.0,0.2407458607677695
6,17,26,124.0,141,124,122.0,0.1363449925138125
6,19,1,107.0,107,114,76.0,-0.0037516453417945
6,34,4,18.0,21,16,22.0,0.1703205618452404
6,42,10,175.0,188,190,206.0,0.0740911114183894
6,43,22,178.0,211,155,151.0,0.187759612177325
7,94,11,59.0,59,49,46.0,0.0
7,87,8,140.0,140,128,133.0,0.0
7,114,11,39.0,39,45,34.0,0.0
7,19,2,91.0,91,86,70.0,0.0
7,21,19,55.0,55,50,63.0,0.0
7,80,16,8.0,8,7,9.0,0.0
7,72,0,26.0,26,22,15.0,0.0
7,48,22,146.0,146,158,160.0,0.0
7,103,0,55.0,55,33,40.0,0.0
7,81,6,38.0,38,35,42.0,0.0
7,11,19,53.0,53,62,81.0,0.0
7,8,14,122.0,122,135,119.0,0.0
7,111,10,84.0,84,99,84.0,0.0
7,10,19,64.0,64,60,76.0,0.0
7,25,24,25.0,25,36,53.0,0.0
7,95,28,13.0,13,12,10.0,0.0
7,28,8,22.0,22,23,29.0,0.0
7,7,13,190.0,190,166,172.0,0.0
7,49,30,74.0,74,72,67.0,0.0
7,1,24,130.0,130,142,147.0,0.0
7,12,29,3.0,3,6,7.0,0.0
7,50,2,102.0,102,101,99.0,0.0
7,71,3,35.0,35,56,18.0,0.0
7,66,30,64.0,64,60,47.0,0.0
7,37,2,50.0,50,50,53.0,0.0
7,57,11,62.0,62,60,73.0,0.0
7,62,13,146.0,146,132,120.0,0.0
7,74,16,22.0,22,19,27.0,0.0
7,91,8,140.0,140,148,146.0,0.0
7,86,8,114.0,114,81,130.0,0.0
8,66,19,26.0,26,45,52.0,0.0
8,63,31,0.0,0,1,0.0,0.0
8,86,8,114.0,114,81,130.0,0.0
8,113,26,54.0,54,66,64.0,0.0
8,41,2,87.0,87,79,85.0,0.0
8,106,24,61.0,61,67,68.0,0.0
8,118,20,131.0,131,128,125.0,0.0
8,116,3,39.0,39,47,26.0,0.0
8,81,12,14.0,14,8,7.0,0.0
8,85,29,4.0,4,3,5.0,0.0
8,25,14,57.0,57,34,36.0,0.0
8,69,0,70.0,70,66,46.0,0.0
8,78,4,7.0,7,9,6.0,0.0
8,28,3,12.0,12,11,8.0,0.0
8,1,13,171.0,171,165,169.0,0.0
8,43,11,84.0,84,78,89.0,0.0
8,90,28,6.0,6,10,8.0,0.0
8,95,22,116.0,116,106,94.0,0.0
8,40,13,123.0,123,145,120.0,0.0
8,115,25,20.0,20,27,27.0,0.0
8,4,13,182.0,182,213,193.0,0.0
8,67,11,42.0,42,46,71.0,0.0
8,18,24,70.0,70,91,102.0,0.0
8,32,16,14.0,14,7,7.0,0.0
8,77,24,9.0,9,13,20.0,0.0
8,19,29,7.0,7,7,8.0,0.0
8,48,21,209.0,209,187,194.0,0.0
8,74,14,31.0,31,28,30.0,0.0
8,37,25,37.0,37,39,37.0,0.0
8,103,16,53.0,53,49,55.0,0.0
9,49,28,11.0,11,12,15.0,0.0
9,77,25,10.0,10,7,8.0,0.0
9,75,22,40.0,40,37,32.0,0.0
9,29,21,21.0,21,22,19.0,0.0
9,108,29,4.0,4,3,4.0,0.0
9,110,19,28.0,28,42,31.0,0.0
9,102,1,62.0,62,57,69.0,0.0
9,2,8,242.0,242,233,269.0,0.0
9,84,0,19.0,19,14,17.0,0.0
9,0,4,100.0,100,84,94.0,0.0
9,94,27,57.0,57,74,55.0,0.0
9,23,27,63.0,63,62,51.0,0.0
9,38,25,55.0,55,48,38.0,0.0
9,64,6,222.0,222,213,198.0,0.0
9,72,21,71.0,71,46,54.0,0.0
9,32,31,0.0,0,0,0.0,0.0
9,42,13,160.0,160,165,166.0,0.0
9,8,7,211.0,211,222,249.0,0.0
9,63,24,82.0,82,90,104.0,0.0
9,33,24,18.0,18,18,22.0,0.0
9,107,15,62.0,62,53,61.0,0.0
9,98,9,239.0,239,211,209.0,0.0
9,52,18,229.0,229,223,212.0,0.0
9,119,8,8.0,8,71,-6.0,0.0
9,96,22,110.0,110,95,86.0,0.0
9,7,15,95.0,95,107,112.0,0.0
9,20,11,41.0,41,49,61.0,0.0
9,82,6,39.0,39,44,53.0,0.0
9,16,15,72.0,72,81,79.0,0.0
9,30,29,0.0,0,0,-1.0,0.0
10,43,25,91.0,91,80,64.0,0.0
10,83,1,29.0,29,29,47.0,0.0
10,15,31,0.0,0,1,0.0,0.0
10,87,22,91.0,91,93,91.0,0.0
10,91,12,26.0,26,38,31.0,0.0
10,79,24,11.0,11,11,18.0,0.0
10,37,29,6.0,6,5,4.0,0.0
10,100,24,97.0,97,82,88.0,0.0
10,108,3,34.0,34,35,36.0,0.0
10,16,18,170.0,170,151,146.0,0.0
10,49,15,106.0,106,96,101.0,0.0
10,102,3,29.0,29,39,41.0,0.0
10,113,10,139.0,139,99,90.0,0.0
10,95,12,40.0,40,41,29.0,0.0
10,116,6,86.0,86,131,111.0,0.0
10,103,3,41.0,41,30,38.0,0.0
10,117,22,68.0,68,59,62.0,0.0
10,66,30,64.0,64,60,47.0,0.0
10,112,29,6.0,6,4,2.0,0.0
10,24,5,75.0,75,82,50.0,0.0
10,4,23,69.0,69,71,83.0,0.0
10,50,11,86.0,86,78,89.0,0.0
10,56,0,55.0,55,69,64.0,0.0
10,47,11,90.0,90,86,88.0,0.0
10,101,8,123.0,123,121,132.0,0.0
10,58,20,235.0,235,248,272.0,0.0
10,45,10,196.0,196,211,224.0,0.0
10,80,22,27.0,27,18,24.0,0.0
10,9,11,82.0,82,70,74.0,0.0
10,5,5,142.0,142,143,134.0,0.0
11,32,29,0.0,0,0,2.0,0.0
11,10,28,11.0,11,12,13.0,0.0
11,45,15,115.0,115,106,115.0,0.0
11,9,8,191.0,191,222,203.0,0.0
11,15,2,100.0,100,85,88.0,0.0
11,117,27,44.0,44,40,34.0,0.0
11,88,19,65.0,65,70,50.0,0.0
11,3,25,55.0,55,69,72.0,0.0
11,44,23,94.0,94,68,67.0,0.0
11,111,21,97.0,97,105,77.0,0.0
11,22,19,50.0,50,48,50.0,0.0
11,1,14,118.0,118,110,117.0,0.0
11,106,20,193.0,193,184,186.0,0.0
11,29,21,21.0,21,22,19.0,0.0
11,104,29,5.0,5,4,4.0,0.0
11,46,3,79.0,79,61,74.0,0.0
11,116,3,39.0,39,47,26.0,0.0
11,76,7,31.0,31,31,42.0,0.0
11,18,9,261.0,261,282,262.0,0.0
11,26,9,65.0,65,72,74.0,0.0
11,0,9,338.0,338,358,364.0,0.0
11,100,23,37.0,37,40,42.0,0.0
11,84,3,18.0,18,15,19.0,0.0
11,86,14,47.0,47,52,66.0,0.0
11,93,26,82.0,82,88,76.0,0.0
11,115,18,65.0,65,75,80.0,0.0
11,99,12,32.0,32,35,30.0,0.0
11,37,3,41.0,41,26,34.0,0.0
11,47,31,0.0,0,1,0.0,0.0
11,113,9,160.0,160,150,147.0,0.0
12,2,10,190.0,190,215,240.0,0.0
12,50,27,99.0,99,83,91.0,0.0
12,9,13,172.0,172,170,146.0,0.0
12,89,7,104.0,104,155,149.0,0.0
12,117,7,101.0,101,91,93.0,0.0
12,16,29,4.0,4,6,4.0,0.0
12,53,21,201.0,201,186,191.0,0.0
12,38,1,59.0,59,50,65.0,0.0
12,70,12,28.0,28,18,34.0,0.0
12,113,2,53.0,53,48,43.0,0.0
12,94,2,56.0,56,56,64.0,0.0
12,18,24,70.0,70,91,102.0,0.0
12,75,1,32.0,32,33,26.0,0.0
12,54,5,115.0,115,113,103.0,0.0
12,112,8,109.0,109,96,98.0,0.0
12,81,31,0.0,0,0,-0.0,0.0
12,45,4,89.0,89,88,96.0,0.0
12,10,0,61.0,61,60,63.0,0.0
12,31,11,14.0,14,9,6.0,0.0
12,56,2,88.0,88,94,83.0,0.0
12,80,5,12.0,12,18,14.0,0.0
12,47,30,69.0,69,67,74.0,0.0
12,104,21,86.0,86,94,98.0,0.0
12,67,30,62.0,62,52,62.0,0.0
12,7,16,106.0,106,101,96.0,0.0
12,48,30,66.0,66,75,78.0,0.0
12,52,8,233.0,233,223,250.0,0.0
12,1,29,5.0,5,5,7.0,0.0
12,110,1,44.0,44,51,49.0,0.0
12,41,17,0.0,0,1,0.0,0.0
13,54,16,98.0,98,94,81.0,0.0
13,90,3,30.0,30,38,45.0,0.0
13,96,24,85.0,85,76,82.0,0.0
13,60,27,66.0,66,84,68.0,0.0
13,11,8,186.0,186,187,235.0,0.0
13,86,20,250.0,250,269,199.0,0.0
13,63,4,56.0,56,80,67.0,0.0
13,97,16,44.0,44,54,58.0,0.0
13,29,25,2.0,2,5,7.0,0.0
13,69,3,60.0,60,59,41.0,0.0
13,112,7,97.0,97,83,94.0,0.0
13,51,28,10.0,10,11,20.0,0.0
13,35,3,16.0,16,17,28.0,0.0
13,80,18,18.0,18,15,24.0,0.0
13,2,30,75.0,75,76,80.0,0.0
13,15,29,2.0,2,5,6.0,0.0
13,34,17,0.0,0,0,0.0,0.0
13,85,1,37.0,37,34,41.0,0.0
13,5,18,233.0,233,240,215.0,0.0
13,0,17,0.0,0,1,0.0,0.0
13,32,29,0.0,0,0,2.0,0.0
