user,time slot,region,ground truth,sensing traffic,prediction,noise(pp)
1,45,12,50.0,50,52,0.0
1,74,15,37.0,37,26,0.0
1,114,21,93.0,93,95,0.0
1,116,0,43.0,43,30,0.0
1,27,3,27.0,27,16,0.0
1,64,27,71.0,71,65,0.0
1,17,3,49.0,49,56,0.0
1,36,7,63.0,63,68,0.0
1,113,9,160.0,160,192,0.0
1,96,19,40.0,40,49,0.0
1,12,21,170.0,170,157,0.0
1,79,18,25.0,25,16,0.0
1,102,4,42.0,42,55,0.0
1,32,23,5.0,5,9,0.0
1,68,6,195.0,195,211,0.0
1,90,24,90.0,90,95,0.0
1,103,24,68.0,68,80,0.0
1,77,12,5.0,5,7,0.0
1,18,26,129.0,129,140,0.0
1,39,1,65.0,65,69,0.0
1,109,6,117.0,117,133,0.0
1,93,7,120.0,120,128,0.0
1,9,23,62.0,62,55,0.0
1,87,14,57.0,57,70,0.0
1,42,24,136.0,136,171,0.0
1,60,17,0.0,0,1,0.0
1,71,5,56.0,56,90,0.0
1,99,25,48.0,48,37,0.0
1,119,13,8.0,8,41,0.0
1,55,8,201.0,201,172,0.0
2,38,9,221.0,221,237,0.0
2,70,20,276.0,276,252,0.0
2,37,19,60.0,60,64,0.0
2,90,16,59.0,59,56,0.0
2,15,19,48.0,48,63,0.0
2,118,5,68.0,68,60,0.0
2,42,30,72.0,72,103,0.0
2,104,15,49.0,49,55,0.0
2,69,15,64.0,64,69,0.0
2,26,0,24.0,24,19,0.0
2,102,18,128.0,128,123,0.0
2,77,3,4.0,4,10,0.0
2,114,24,57.0,57,60,0.0
2,75,17,0.0,0,0,0.0
2,36,19,47.0,47,61,0.0
2,56,29,5.0,5,6,0.0
2,11,19,53.0,53,56,0.0
2,76,19,6.0,6,9,0.0
2,49,14,114.0,114,118,0.0
2,40,7,122.0,122,160,0.0
2,73,0,30.0,30,25,0.0
2,30,1,12.0,12,14,0.0
2,117,9,152.0,152,133,0.0
2,23,25,38.0,38,36,0.0
2,24,31,0.0,0,0,0.0
2,96,0,43.0,43,36,0.0
2,4,31,1.0,1,1,0.0
2,78,10,25.0,25,18,0.0
2,84,20,239.0,239,256,0.0
2,33,23,16.0,16,11,0.0
