user,time slot,region,ground truth,sensing traffic,prediction,noise(pp)
1,105,23,42.0,42,42,0.0
1,90,6,191.0,191,181,0.0
1,78,17,0.0,0,0,0.0
1,93,6,159.0,159,158,0.0
1,117,11,50.0,50,37,0.0
1,67,31,0.0,0,0,0.0
1,82,29,2.0,2,1,0.0
1,13,17,0.0,0,1,0.0
1,80,22,27.0,27,22,0.0
1,16,27,78.0,78,73,0.0
1,103,29,3.0,3,4,0.0
1,18,2,110.0,110,100,0.0
1,15,12,37.0,37,44,0.0
1,5,2,107.0,107,126,0.0
1,29,14,11.0,11,15,0.0
1,102,29,3.0,3,5,0.0
1,37,3,41.0,41,32,0.0
1,63,15,74.0,74,88,0.0
1,60,7,164.0,164,150,0.0
1,73,29,2.0,2,2,0.0
1,52,28,10.0,10,14,0.0
1,86,28,10.0,10,7,0.0
1,110,30,23.0,23,29,0.0
1,92,10,99.0,99,113,0.0
1,109,1,44.0,44,49,0.0
1,43,14,122.0,122,112,0.0
1,22,30,45.0,45,44,0.0
1,51,17,0.0,0,1,0.0
1,11,24,124.0,124,116,0.0
1,75,2,35.0,35,36,0.0
2,37,20,198.0,236,224,0.191451841455478
2,99,1,56.0,70,53,0.24933127449784756
2,13,16,90.0,113,75,0.25812537837177973
2,4,8,246.0,344,281,0.3967377046371854
2,77,28,3.0,4,3,0.4926744625424538
2,110,16,36.0,43,46,0.2063959705880817
2,75,19,17.0,17,13,0.019716869538097592
2,54,14,93.0,116,129,0.2435130643965724
2,104,26,80.0,112,70,0.40239397551282774
2,14,4,79.0,110,86,0.3867692560732614
2,24,28,14.0,16,9,0.1317448111516595
2,44,16,111.0,153,92,0.37747548892811333
2,26,3,17.0,19,22,0.12960648226016697
2,9,28,17.0,21,13,0.2446727408735475
2,85,8,96.0,143,72,0.4875491097587456
2,93,0,40.0,51,41,0.27244303459980235
2,74,10,58.0,73,38,0.2573712257010479
2,64,13,113.0,161,132,0.42892835175646193
2,6,15,131.0,167,121,0.27662511796505
2,119,28,1.0,1,6,0.4097447503519454
2,63,10,161.0,207,180,0.287587593218467
2,73,15,26.0,33,38,0.2505128202478867
2,21,24,69.0,85,79,0.23470759079175962
2,91,26,104.0,132,89,0.26582399879907503
2,95,28,13.0,17,10,0.28695317192402053
2,80,7,13.0,17,16,0.27618203003167435
2,40,24,177.0,188,154,0.06021846773644393
2,61,11,87.0,120,78,0.3847149497820988
2,111,20,130.0,152,170,0.171211080188504
2,11,1,90.0,117,98,0.30238906868862087
3,77,16,7.0,7,9,0.0
3,94,3,35.0,35,37,0.0
3,61,9,299.0,299,302,0.0
3,109,5,68.0,68,55,0.0
3,29,10,17.0,17,20,0.0
3,31,30,10.0,10,5,0.0
3,9,16,76.0,76,80,0.0
3,58,19,52.0,52,52,0.0
3,88,30,30.0,30,50,0.0
3,117,27,44.0,44,45,0.0
3,21,10,146.0,146,124,0.0
3,6,4,74.0,74,115,0.0
3,66,4,56.0,56,67,0.0
3,89,18,122.0,122,112,0.0
3,5,8,290.0,290,253,0.0
3,2,6,338.0,338,324,0.0
3,54,7,175.0,175,204,0.0
3,72,19,23.0,23,12,0.0
3,50,30,71.0,71,78,0.0
3,84,20,239.0,239,263,0.0
3,14,11,87.0,87,89,0.0
3,36,19,47.0,47,63,0.0
3,75,9,84.0,84,61,0.0
3,102,9,173.0,173,184,0.0
3,68,15,60.0,60,66,0.0
3,24,5,75.0,75,70,0.0
3,79,15,8.0,8,14,0.0
3,70,20,276.0,276,265,0.0
3,118,20,131.0,131,116,0.0
3,110,18,70.0,70,91,0.0
4,8,19,101.0,101,80,0.0
4,2,30,75.0,75,82,0.0
4,30,11,11.0,11,9,0.0
4,15,20,239.0,239,291,0.0
4,67,24,90.0,90,79,0.0
4,102,10,104.0,104,112,0.0
4,61,1,74.0,74,81,0.0
4,59,14,95.0,95,102,0.0
4,66,8,82.0,82,120,0.0
4,42,6,307.0,307,300,0.0
4,109,27,45.0,45,43,0.0
4,14,16,72.0,72,77,0.0
4,52,3,55.0,55,69,0.0
4,19,27,82.0,82,98,0.0
4,81,13,26.0,26,25,0.0
4,57,28,13.0,13,13,0.0
4,90,24,90.0,90,100,0.0
4,76,14,23.0,23,22,0.0
4,108,20,202.0,202,184,0.0
4,118,28,3.0,3,7,0.0
4,1,7,241.0,241,247,0.0
4,119,26,4.0,4,47,0.0
4,70,13,105.0,105,94,0.0
4,69,22,111.0,111,116,0.0
4,88,15,71.0,71,70,0.0
4,73,16,18.0,18,22,0.0
4,91,20,234.0,234,255,0.0
4,48,1,140.0,140,118,0.0
4,27,21,41.0,41,44,0.0
4,117,19,21.0,21,23,0.0
5,99,7,133.0,133,121,0.0
5,80,22,27.0,27,22,0.0
5,28,12,11.0,11,6,0.0
5,109,19,48.0,48,40,0.0
5,46,2,110.0,110,102,0.0
5,100,1,54.0,54,57,0.0
5,23,11,48.0,48,44,0.0
5,26,26,35.0,35,39,0.0
5,9,28,17.0,17,13,0.0
5,4,16,116.0,116,119,0.0
5,29,11,14.0,14,10,0.0
5,110,26,56.0,56,65,0.0
5,70,27,100.0,100,86,0.0
5,68,11,58.0,58,47,0.0
5,51,8,190.0,190,232,0.0
5,22,28,8.0,8,14,0.0
5,75,19,17.0,17,13,0.0
5,48,6,315.0,315,293,0.0
5,117,24,31.0,31,47,0.0
5,41,7,187.0,187,189,0.0
5,87,2,64.0,64,48,0.0
5,96,10,118.0,118,115,0.0
5,31,17,0.0,0,0,0.0
5,116,15,38.0,38,46,0.0
5,115,2,68.0,68,59,0.0
5,38,25,55.0,55,46,0.0
5,16,9,288.0,288,281,0.0
5,112,5,55.0,55,59,0.0
5,93,11,56.0,56,54,0.0
5,5,26,139.0,139,160,0.0
6,112,27,34.0,41,43,0.20950566901435463
6,64,30,39.0,54,41,0.3932090792229893
6,39,6,196.0,264,203,0.3453643528436529
6,22,16,55.0,70,41,0.2746651788293078
6,98,21,107.0,129,106,0.2017729559246858
6,109,13,83.0,87,79,0.05006248949262976
6,82,28,12.0,15,4,0.2826077778806996
6,118,30,13.0,16,23,0.2472467773862859
6,101,0,41.0,57,37,0.3867985962443046
6,61,23,50.0,58,50,0.154973352582255
6,66,2,69.0,89,89,0.28654042124389234
6,83,7,27.0,32,30,0.1759246222509463
6,3,21,180.0,253,209,0.40321239929867503
6,105,14,78.0,111,60,0.420848746368785
6,7,13,190.0,237,191,0.24909328147104232
6,92,11,52.0,70,50,0.3402014104272673
6,32,19,5.0,6,7,0.2223678442529266
6,95,26,77.0,107,84,0.3943485343949447
6,17,7,176.0,213,194,0.2127157469562557
6,0,9,338.0,455,360,0.34670838638442886
6,70,2,115.0,151,104,0.30870651391226406
6,26,8,45.0,60,47,0.3296774676796074
6,13,14,98.0,147,114,0.5046060239732096
6,75,25,16.0,22,14,0.36069237407705723
6,117,3,39.0,54,40,0.39526374893963645
6,35,25,23.0,31,24,0.34111885690059857
6,63,14,78.0,104,95,0.3382482395415272
6,43,0,62.0,66,70,0.06754041949013995
6,69,6,179.0,217,175,0.21264711001487044
6,74,29,3.0,4,1,0.353566281984282
7,56,8,195.0,195,173,0.0
7,65,24,85.0,85,92,0.0
7,106,14,54.0,54,68,0.0
7,20,25,52.0,52,55,0.0
7,80,23,10.0,10,8,0.0
7,92,13,123.0,123,97,0.0
7,99,28,6.0,6,9,0.0
7,5,25,67.0,67,72,0.0
7,96,28,4.0,4,10,0.0
7,25,13,61.0,61,43,0.0
7,24,25,22.0,22,25,0.0
7,117,26,50.0,50,73,0.0
7,109,21,100.0,100,102,0.0
7,72,3,46.0,46,21,0.0
7,62,0,52.0,52,57,0.0
7,71,10,42.0,42,96,0.0
7,4,6,317.0,317,376,0.0
7,51,5,122.0,122,121,0.0
7,118,29,1.0,1,2,0.0
7,10,24,120.0,120,113,0.0
7,81,26,18.0,18,21,0.0
